Code du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Voix,% Voix/Ins,% Voix/Exp,Tour,Year
"93",1233,512,"41,52",721,"58,48",7,"0,57","0,97",13,"1,05","1,8",701,"56,85","97,23","11",1,"0,08","0,14","T1","2017"
"93",1130,356,"31,5",774,"68,5",8,"0,71","1,03",12,"1,06","1,55",754,"66,73","97,42","11",4,"0,35","0,53","T1","2017"
"93",1238,507,"40,95",731,"59,05",9,"0,73","1,23",13,"1,05","1,78",709,"57,27","96,99","11",7,"0,57","0,99","T1","2017"
"93",1136,292,"25,7",844,"74,3",9,"0,79","1,07",18,"1,58","2,13",817,"71,92","96,8","11",10,"0,88","1,22","T1","2017"
"93",991,328,"33,1",663,"66,9",10,"1,01","1,51",16,"1,61","2,41",637,"64,28","96,08","11",5,"0,5","0,78","T1","2017"
"93",930,376,"40,43",554,"59,57",10,"1,08","1,81",14,"1,51","2,53",530,"56,99","95,67","12",3,"0,32","0,57","T1","2017"
"93",737,219,"29,72",518,"70,28",11,"1,49","2,12",12,"1,63","2,32",495,"67,16","95,56","12",13,"1,76","2,63","T1","2017"
"93",1233,512,"41,52",721,"58,48",7,"0,57","0,97",13,"1,05","1,8",701,"56,85","97,23","12",1,"0,08","0,14","T1","2017"
"93",1130,356,"31,5",774,"68,5",8,"0,71","1,03",12,"1,06","1,55",754,"66,73","97,42","12",8,"0,71","1,06","T1","2017"
"93",1238,507,"40,95",731,"59,05",9,"0,73","1,23",13,"1,05","1,78",709,"57,27","96,99","12",8,"0,65","1,13","T1","2017"
"93",1136,292,"25,7",844,"74,3",9,"0,79","1,07",18,"1,58","2,13",817,"71,92","96,8","12",7,"0,62","0,86","T1","2017"
"93",991,328,"33,1",663,"66,9",10,"1,01","1,51",16,"1,61","2,41",637,"64,28","96,08","12",6,"0,61","0,94","T1","2017"
"93",1241,539,"43,43",702,"56,57",55,"4,43","7,83",16,"1,29","2,28",631,"50,85","89,89","5",146,"11,76","23,14","T2","2022"
"93",1192,591,"49,58",601,"50,42",35,"2,94","5,82",13,"1,09","2,16",553,"46,39","92,01","5",128,"10,74","23,15","T2","2022"
"93",1125,511,"45,42",614,"54,58",37,"3,29","6,03",13,"1,16","2,12",564,"50,13","91,86","5",185,"16,44","32,8","T2","2022"
"93",1162,534,"45,96",628,"54,04",36,"3,1","5,73",22,"1,89","3,5",570,"49,05","90,76","5",115,"9,9","20,18","T2","2022"
"93",1330,611,"45,94",719,"54,06",62,"4,66","8,62",25,"1,88","3,48",632,"47,52","87,9","5",119,"8,95","18,83","T2","2022"
"93",1413,649,"45,93",764,"54,07",51,"3,61","6,68",18,"1,27","2,36",695,"49,19","90,97","5",111,"7,86","15,97","T2","2022"
"93",1285,614,"47,78",671,"52,22",48,"3,74","7,15",14,"1,09","2,09",609,"47,39","90,76","5",142,"11,05","23,32","T2","2022"
"93",1429,675,"47,24",754,"52,76",48,"3,36","6,37",14,"0,98","1,86",692,"48,43","91,78","5",176,"12,32","25,43","T2","2022"
"93",1253,514,"41,02",739,"58,98",59,"4,71","7,98",17,"1,36","2,3",663,"52,91","89,72","5",111,"8,86","16,74","T2","2022"
"93",1134,481,"42,42",653,"57,58",39,"3,44","5,97",15,"1,32","2,3",599,"52,82","91,73","5",116,"10,23","19,37","T2","2022"
"93",1366,620,"45,39",746,"54,61",43,"3,15","5,76",15,"1,1","2,01",688,"50,37","92,23","5",152,"11,13","22,09","T2","2022"
"93",1112,449,"40,38",663,"59,62",37,"3,33","5,58",39,"3,51","5,88",587,"52,79","88,54","5",128,"11,51","21,81","T2","2022"
"93",1147,581,"50,65",566,"49,35",51,"4,45","9,01",13,"1,13","2,3",502,"43,77","88,69","5",136,"11,86","27,09","T2","2022"
"93",1425,614,"43,09",811,"56,91",67,"4,7","8,26",16,"1,12","1,97",728,"51,09","89,77","5",177,"12,42","24,31","T2","2022"
"93",1257,584,"46,46",673,"53,54",34,"2,7","5,05",14,"1,11","2,08",625,"49,72","92,87","5",180,"14,32","28,8","T2","2022"
"93",881,267,"30,31",614,"69,69",47,"5,33","7,65",14,"1,59","2,28",553,"62,77","90,07","5",181,"20,54","32,73","T2","2022"
"93",745,211,"28,32",534,"71,68",40,"5,37","7,49",14,"1,88","2,62",480,"64,43","89,89","5",148,"19,87","30,83","T2","2022"
"93",911,362,"39,74",549,"60,26",42,"4,61","7,65",20,"2,2","3,64",487,"53,46","88,71","5",193,"21,19","39,63","T2","2022"
"93",687,246,"35,81",441,"64,19",28,"4,08","6,35",18,"2,62","4,08",395,"57,5","89,57","5",127,"18,49","32,15","T2","2022"
"93",910,309,"33,96",601,"66,04",39,"4,29","6,49",17,"1,87","2,83",545,"59,89","90,68","5",228,"25,05","41,83","T2","2022"
"93",777,256,"32,95",521,"67,05",35,"4,5","6,72",13,"1,67","2,5",473,"60,88","90,79","5",162,"20,85","34,25","T2","2022"
"93",749,357,"47,66",392,"52,34",24,"3,2","6,12",16,"2,14","4,08",352,47,"89,8","5",111,"14,82","31,53","T2","2022"
"93",1171,617,"52,69",554,"47,31",40,"3,42","7,22",13,"1,11","2,35",501,"42,78","90,43","5",127,"10,85","25,35","T2","2022"
"93",1182,602,"50,93",580,"49,07",8,"0,68","1,38",45,"3,81","7,76",527,"44,59","90,86","5",96,"8,12","18,22","T2","2022"
"93",1175,564,"48",611,52,42,"3,57","6,87",14,"1,19","2,29",555,"47,23","90,83","5",171,"14,55","30,81","T2","2022"
"93",827,360,"43,53",467,"56,47",28,"3,39",6,14,"1,69",3,425,"51,39","91,01","5",117,"14,15","27,53","T2","2022"
"93",870,431,"49,54",439,"50,46",39,"4,48","8,88",14,"1,61","3,19",386,"44,37","87,93","5",120,"13,79","31,09","T2","2022"
"93",970,461,"47,53",509,"52,47",49,"5,05","9,63",17,"1,75","3,34",443,"45,67","87,03","5",79,"8,14","17,83","T2","2022"
"93",1074,337,"31,38",737,"68,62",61,"5,68","8,28",15,"1,4","2,04",661,"61,55","89,69","5",233,"21,69","35,25","T2","2022"
"93",902,312,"34,59",590,"65,41",34,"3,77","5,76",14,"1,55","2,37",542,"60,09","91,86","5",191,"21,18","35,24","T2","2022"
"93",1029,475,"46,16",554,"53,84",42,"4,08","7,58",14,"1,36","2,53",498,"48,4","89,89","5",178,"17,3","35,74","T2","2022"
"93",1230,494,"40,16",736,"59,84",49,"3,98","6,66",17,"1,38","2,31",670,"54,47","91,03","5",199,"16,18","29,7","T2","2022"
"93",1206,461,"38,23",745,"61,77",58,"4,81","7,79",13,"1,08","1,74",674,"55,89","90,47","5",231,"19,15","34,27","T2","2022"
