Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des emplois sal. dans le nb d’emplois au LT 2016;Part des emplois non sal. dans le nb d’emplois au LT 2016;Part des agriculteurs expl. dans le nb d’emplois au LT 2016;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2016;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2016;Part des employés dans le nb d’emplois au LT 2016;Part des prof. intermédiaires dans le nb d’emplois au LT 2016;Part des ouvriers dans le nb d’emplois au LT 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité des femmes par tranche d'âge 2016;Taux activité des hommes par tranche d'âge 2016
01225;Lurcy;50.1;49.9;0;0;100;0;0;0;19.5;97.2;51.6;73;72.2
01227;Magnieu;69.6;30.4;9.2;25.5;0;26.1;22.3;17;44.9;94.3;54.6;78.5;80.8
01228;Maillat;86.9;13.1;0;12.5;5.4;17.8;14.2;50.2;62.7;94.5;49.4;77;84.8
01229;Malafretaz;73.9;26.1;7.2;20.8;3.6;21.4;21.7;25.3;53.7;96.6;53;78.9;80.5
01230;Mantenay-Montlin;59.7;40.3;23.6;7.9;0;16.1;8.1;44.3;36.7;96.5;70;81.8;80.4
01231;Manziat;83.7;16.3;1.5;9.9;8.2;9.9;18.6;51.9;51.4;96.4;56.4;76.2;84.7
01232;Marboz;74.2;25.8;3.2;19.5;6.4;21.9;21.6;27.3;44.8;94.8;53.4;74.4;78
01233;Marchamp;57.2;42.8;0;0;0;0;0;100;25;86.5;61.5;66.7;82.5
01234;Marignieu;77.9;22.1;0;14.6;7.3;11.3;18.9;47.9;36.8;87.3;66.7;70.4;76.4
01235;Marlieux;72.4;27.6;2.8;19.9;6.4;25.4;16.9;28.6;58.3;96;48.8;79.4;85.6
01236;Marsonnas;60;40;21;14.9;5.5;31.6;10.6;16.4;55.3;96;49.1;77.4;82.8
01237;Martignat;90.8;9.2;0.8;6.3;11.8;11.2;18.3;51.6;39.9;91.4;58.4;71.1;80
01238;Massieux;85.9;14.1;0;8.2;8;26.3;25.8;31.8;36;96;48.1;73.8;79.1
01239;Massignieu-de-Rives;72.5;27.5;12.5;6.6;0;18.8;49.6;12.5;57.9;93.3;52.7;73;85.3
01240;Matafelon-Granges;62.6;37.4;0;25;0;41.7;25;8.3;36.5;95.3;52.9;75;82.4
01241;Meillonnas;76.2;23.8;0;12.4;5.9;31.6;31.4;18.7;47.5;86.3;48;70.7;72.8
01242;Mérignat;68.9;31.1;40.5;0;0;22.6;20.2;16.7;41.2;94.4;61.1;69.8;84.8
01243;Messimy-sur-Saône;54.6;45.4;3.2;43.9;6.2;12;5.9;28.9;42.2;95.8;51;74.6;79.9
01244;Meximieux;83.9;16.1;0.2;11.4;11.9;32.9;24.3;19.3;50;93;54.2;73.8;82
01245;Bohas-Meyriat-Rignat;61.4;38.6;8.1;24.7;18.3;24.3;16.4;8.2;53.8;96.4;52.3;79.7;85
01246;Mézériat;73.7;26.3;0;12.2;10.7;15.6;39.1;22.5;53.8;93.2;50.7;72.8;81.5
01247;Mijoux;73.2;26.8;0;23.7;0;28.4;8;39.9;33.3;97.4;71.7;84.9;84.7
01248;Mionnay;69.8;30.2;4.8;18.6;7;31.6;21.6;16.4;39.7;96.2;67.2;76.8;79.6
01249;Miribel;90.4;9.6;0.7;6.3;18.6;18.8;28.3;27.3;40;90.2;55.7;72.6;77.3
01250;Misérieux;83.4;16.6;0;6.8;21.9;30.1;29.3;11.8;31.9;96;56.4;67.3;77
01252;Mogneneins;68.6;31.4;0;10;20;49.9;20.1;0;36.3;95.7;61.6;74.6;82.7
01254;Montagnat;83.5;16.5;1.7;13.3;9.5;22.8;12.2;40.4;35.3;96.7;63;77.9;82.3
01255;Montagnieu;61.3;38.7;8;0;8.3;50.7;8.2;24.9;52.9;92.7;46.3;72;86.5
01257;Montanges;66;34;0;0;0;32.9;11.2;55.9;77.7;95;60.7;84;82.5
01258;Montceaux;84;16;6.6;8.8;8.7;37.1;27.4;11.5;48.8;96.8;53.2;76.7;80.5
01259;Montcet;58.3;41.7;17.8;18.6;0;27.7;18;17.8;46.7;97.9;48.4;78.4;81.8
01260;Le Montellier;51;49;44.4;22.2;11.1;0;11.1;11.1;40.7;97.6;86.7;85.4;89
01261;Monthieux;78.1;21.9;0;8.4;4.2;24;32.1;31.2;52.2;96.3;65.5;79.3;83.1
01262;Montluel;89.3;10.7;0.5;7;22.1;22.4;27.9;20;55.4;93.1;51.7;73.5;83.8
