Inscrits,% Abs/Ins,LE PEN,MACRON,Code Insee
481,13.51,46.44,53.56,01284
865,13.41,32.29,67.71,01285
758,17.81,34.3,65.7,01286
1322,23.22,31.22,68.78,01288
4483,21.88,30.79,69.21,01289
978,22.29,40.71,59.29,01290
607,15.16,43.24,56.76,01291
132,17.42,38.71,61.29,01293
605,26.61,45.33,54.67,01294
426,18.31,52.94,47.06,01295
286,21.33,56.12,43.88,01296
667,15.29,45.29,54.71,01297
107,26.17,44.29,55.71,01298
391,19.95,52.69,47.31,01299
1915,19.79,38.05,61.95,01301
151,25.83,48.94,51.06,01302
1161,24.2,46.9,53.1,01303
1798,24.47,49.01,50.99,01304
1486,26.99,37.88,62.12,01305
928,22.84,43.18,56.82,01306
583,20.41,41.75,58.25,01307
432,30.79,29.8,70.2,01308
72,20.83,60.0,40.0,01309
132,12.12,47.66,52.34,01310
42,21.43,46.88,53.13,01311
3644,20.47,19.89,80.11,01313
1175,17.02,50.58,49.42,01314
223,18.39,50.0,50.0,01317
495,19.6,43.26,56.74,01318
340,13.53,49.24,50.76,01319
2688,17.97,37.11,62.89,01320
652,19.63,33.41,66.59,01321
3355,18.87,31.76,68.24,01322
734,19.75,43.33,56.67,01323
733,15.96,48.34,51.66,01325
378,18.52,49.82,50.18,01328
153,20.26,50.0,50.0,01329
157,20.38,30.1,69.9,01330
157,19.75,39.09,60.91,01331
556,17.27,40.0,60.0,01332
2516,22.14,44.48,55.52,01333
427,12.18,55.09,44.91,01334
242,13.22,44.62,55.38,01335
863,17.84,39.57,60.43,01336
954,18.87,46.75,53.25,01337
911,22.17,45.28,54.72,01338
1203,18.62,32.99,67.01,01339
126,12.7,33.33,66.67,01341
403,14.14,40.14,59.86,01342
1294,18.62,41.35,58.65,01343
4539,19.74,29.36,70.64,01344
1680,25.24,47.54,52.46,01345
609,15.93,41.16,58.84,01346
1545,18.06,36.2,63.8,01347
2088,24.71,44.55,55.45,01348
401,27.43,46.25,53.75,01349
1863,17.12,41.19,58.81,01350
1086,21.64,54.9,45.1,01351
390,20.77,49.08,50.92,01352
1094,18.19,34.54,65.46,01353
4556,26.23,23.51,76.49,01354
348,16.09,49.61,50.39,01355
149,19.46,52.48,47.52,01356
271,23.62,36.26,63.74,01357
326,20.86,39.91,60.09,01358
203,18.72,56.03,43.97,01359
944,20.34,29.65,70.35,01360
1170,17.35,48.2,51.8,01361
565,17.52,47.16,52.84,01362
1295,22.24,42.82,57.18,01363
552,21.92,49.19,50.81,01364
836,17.94,40.4,59.6,01365
628,18.47,47.71,52.29,01366
432,18.06,48.34,51.66,01367
550,16.36,50.51,49.49,01368
746,21.18,31.77,68.23,01369
987,28.47,37.36,62.64,01370
897,17.84,50.08,49.92,01371
328,25.61,33.01,66.99,01372
707,21.22,45.23,54.77,01373
1327,17.33,37.41,62.59,01374
605,19.5,45.12,54.88,01375
2455,25.01,36.6,63.4,01376
1996,19.24,52.05,47.95,01378
536,16.23,58.59,41.41,01379
503,21.27,44.76,55.24,01380
619,18.09,57.87,42.13,01381
222,18.92,46.2,53.8,01382
1050,24.0,52.84,47.16,01383
1300,30.0,48.17,51.83,01384
801,17.48,34.88,65.12,01385
840,19.29,36.83,63.17,01386
151,15.23,50.0,50.0,01387
718,24.23,48.14,51.86,01388
1338,22.5,53.11,46.89,01389
775,19.87,56.83,43.17,01390
242,17.36,50.97,49.03,01391
471,16.56,43.77,56.23,01392
380,18.42,50.0,50.0,01393
640,31.72,46.58,53.42,01396
604,27.32,24.26,75.74,01397
987,18.24,51.85,48.15,01398
1059,23.04,30.5,69.5,01399
129,17.83,35.16,64.84,01400
965,20.83,27.17,72.83,01401
478,22.8,48.44,51.56,01402
901,23.42,46.1,53.9,01403
126,23.81,53.57,46.43,01404
835,21.08,55.16,44.84,01405
124,16.13,42.35,57.65,01406
623,21.99,40.14,59.86,01407
507,22.29,44.14,55.86,01408
251,20.72,33.53,66.47,01410
203,14.29,56.21,43.79,01411
424,17.69,46.06,53.94,01412
66,30.3,50.0,50.0,01413
185,18.92,39.37,60.63,01414
294,19.05,47.37,52.63,01415
632,29.43,51.25,48.75,01416
276,23.19,38.92,61.08,01417
815,17.3,31.93,68.07,01418
3007,21.08,23.49,76.51,01419
1033,28.46,46.66,53.34,01420
515,17.86,55.91,44.09,01421
1042,21.5,38.67,61.33,01422
772,19.17,46.33,53.67,01423
1401,18.06,33.82,66.18,01424
220,18.64,41.03,58.97,01425
1816,19.38,39.22,60.78,01426
4180,24.55,32.5,67.5,01427
92,16.3,48.28,51.72,01428
474,13.71,52.37,47.63,01429
414,20.05,55.45,44.55,01430
913,18.07,39.6,60.4,01431
221,14.03,44.85,55.15,01432
172,15.12,64.49,35.51,01433
324,14.81,50.85,49.15,01434
1214,26.11,30.65,69.35,01435
329,14.89,19.54,80.46,01436
