Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des rés. principales construites avant 1946 2016;Part des rés. principales dans le total des logements 2016;Part des rés. secondaires (y compris les logements occasionnels) dans le total des logements 2016;Part des logements vacants dans le total des logements 2016;Part des appartements dans le total des logements 2016;Part des maisons dans le total des logements 2016;Part des propriétaires dans les rés. principales 2016;Part des locataires dans les rés. principales 2016;Part des locataires HLM dans les rés. principales 2016
01219;Lompnas;63;64.8;22;13.2;12.4;86.7;61.6;34.2;0
01224;Loyettes;14;92.2;1.5;6.3;24.4;74.8;71.2;27.5;7
01225;Lurcy;42;90.9;3.6;5.5;3.6;95.8;93.3;4.7;0
01227;Magnieu;48.4;75.2;16.8;7.9;5.5;94.5;82.4;14.9;0
01228;Maillat;30.9;82.2;3.1;14.7;22.4;77.6;71.6;28;5
01229;Malafretaz;20.4;90.4;0.9;8.7;26.9;73.1;67.3;32;5.8
01230;Mantenay-Montlin;34;81.8;8.4;9.8;3.6;96.4;85.1;14.9;2.1
01231;Manziat;24.5;92.4;1.5;6.1;10.9;89;77.8;21.3;0.7
01232;Marboz;32.2;90.4;2.7;6.8;16.9;80.2;73.2;25.1;7
01233;Marchamp;63.9;60;35.9;4.1;2.9;97.1;80.3;18;0
01234;Marignieu;61.3;82.5;9.8;7.7;6.6;92.3;85.3;13.3;0
01235;Marlieux;24.1;88.8;4.3;6.9;26;69.1;55.6;40.8;12.9
01236;Marsonnas;36;87.3;4.3;8.4;6.8;93;79.8;18.9;1
01237;Martignat;13.5;92;1.5;6.5;24;75.7;71.1;28;19
01238;Massieux;9.7;95.9;1.5;2.5;9;89.8;81.4;17.7;6.3
01239;Massignieu-de-Rives;30.9;80;14.6;5.4;2.2;97.8;83.9;12.4;0
01240;Matafelon-Granges;30.5;67.8;27.2;5;5;94.8;88.2;10.7;2.2
01241;Meillonnas;31.5;90.4;4.8;4.8;8.8;89.8;79.2;18.9;6
01242;Mérignat;73.8;59.6;20.2;20.2;4.9;94.1;60.7;32.8;6.6
01243;Messimy-sur-Saône;36.3;88.5;8.4;3.2;4.7;94.2;87.2;10;0
01244;Meximieux;14;92.2;1;6.8;45.4;54.2;48.6;50.2;21.1
01245;Bohas-Meyriat-Rignat;36.1;82;8.9;9.1;5.5;93.9;80.7;16.5;1.3
01246;Mézériat;23.7;88.6;1.4;10;17.9;77.9;66.5;31.9;14.6
01247;Mijoux;25.2;22;76.8;1.2;65.4;34.4;66.9;30.5;6.6
01248;Mionnay;8.8;92.1;1.2;6.8;23.1;76.8;78;20.8;11.3
01249;Miribel;17.9;90.6;1;8.4;47.5;51;57.1;40.5;17
01250;Misérieux;18.9;96.4;1;2.6;7.8;92.1;80.5;16.5;6.1
01252;Mogneneins;49.9;86.8;9;4.2;2.2;96.6;82.5;12.6;0
01254;Montagnat;7.9;92.1;1.3;6.5;4.2;95.7;86.2;12.8;5.3
01255;Montagnieu;33.7;76.1;13;10.9;7;93;75.2;20.8;3.2
01257;Montanges;33.1;73.9;17.4;8.7;14.1;85.9;80.4;16.2;2.8
01258;Montceaux;22.8;93;1.9;5.1;4;96;83.4;15.9;4.6
01259;Montcet;23.5;95.6;1.2;3.2;3.6;96.4;80.9;17.8;7
01260;Le Montellier;42.7;88;6.4;5.6;3.2;96.8;81.8;16.4;0
01261;Monthieux;22.6;92;2.5;5.5;9.6;89.8;78.2;16.9;6.9
