Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb créations d'entreprises 2018;Nb entreprises 2018;Part étab. sans salarié dans les étab. actifs au 31/12 2015;Part étab. de 1 à 9 salariés dans les étab. actifs au 31/12 2015;Part étab. de 10 salariés ou plus dans les étab. actifs au 31/12 2015;Part postes de l'agriculture, sylviculture, pêche dans les étab. actifs au 31/12 2015;Part postes de l'industrie dans les étab. actifs au 31/12 2015;Part postes de la construction dans les étab. actifs au 31/12 2015;Part postes du commerce, transport et services marchands dans les étab. actifs au 31/12 2015;Part postes de l'admin. publique, enseignement, santé et action sociale dans les étab. actifs au 31/12 2015
01206;Lantenay;1;7;80;13.3;6.7;0;77.8;0;0;22.2
01207;Lapeyrouse;3;26;76.2;21.4;2.4;9.6;0;80.8;5.8;3.8
01208;Lavours;0;7;84.6;15.4;0;0;0;0;33.3;66.7
01209;Léaz;5;24;90.3;9.7;0;0;0;7.7;0;92.3
01210;Lélex;9;54;64.3;33.3;2.4;0;5.4;4.3;72.8;17.4
01211;Lent;3;54;74.2;20.4;5.4;1.4;2.8;37.6;46.1;12.1
01212;Lescheroux;3;37;85.7;12.9;1.4;27;0;51.4;2.7;18.9
01213;Leyment;6;63;76.1;17.4;6.5;0.9;23;5.1;36.6;34.5
01214;Leyssard;5;7;92.3;7.7;0;0;0;0;0;100
01215;Surjoux-Lhopital;1;5;80;20;0;0;50;0;0;50
01216;Lhuis;7;49;77;18.9;4.1;2.7;38.8;4.1;7.5;46.9
01219;Lompnas;1;10;88.2;11.8;0;0;0;0;0;100
01224;Loyettes;29;174;73.3;19.4;7.3;0.1;40.7;23;26.6;9.6
01225;Lurcy;2;11;87;13;0;0;0;25;25;50
01227;Magnieu;5;27;81.4;14;4.7;1.6;12.9;0;80.6;4.8
01228;Maillat;16;52;69.2;23.1;7.7;4.4;62.8;17.3;9.7;5.8
01229;Malafretaz;12;48;73.3;25.6;1.2;6.2;8.3;25;52.1;8.3
01230;Mantenay-Montlin;1;14;69;27.6;3.4;15.6;21.9;0;50;12.5
01231;Manziat;15;96;61.8;29.8;8.4;1.9;38.9;5.6;47.3;6.4
01232;Marboz;22;125;74.5;21.6;3.9;1.3;13.6;9.7;24;51.3
01233;Marchamp;1;6;92.9;7.1;0;0;0;0;0;100
01234;Marignieu;0;5;76.9;15.4;7.7;26.1;0;69.6;0;4.3
01235;Marlieux;5;56;77.9;17.9;4.2;5.6;34.3;15.7;13;31.5
01236;Marsonnas;4;38;90;10;0;6.7;0;0;66.7;26.7
01237;Martignat;9;105;58.4;32;9.6;0;66.9;1.3;28.3;3.5
01238;Massieux;35;183;71;23.5;5.5;0;32.3;12.6;49;6.1
