Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb créations d'entreprises 2018;Nb entreprises 2018;Part étab. sans salarié dans les étab. actifs au 31/12 2015;Part étab. de 1 à 9 salariés dans les étab. actifs au 31/12 2015;Part étab. de 10 salariés ou plus dans les étab. actifs au 31/12 2015;Part postes de l'agriculture, sylviculture, pêche dans les étab. actifs au 31/12 2015;Part postes de l'industrie dans les étab. actifs au 31/12 2015;Part postes de la construction dans les étab. actifs au 31/12 2015;Part postes du commerce, transport et services marchands dans les étab. actifs au 31/12 2015;Part postes de l'admin. publique, enseignement, santé et action sociale dans les étab. actifs au 31/12 2015
07296;Saint-Sernin;14;87;72.7;21.9;5.5;1.9;4.3;25.6;29.9;38.4
07297;Saint-Sylvestre;2;31;85.1;14.9;0;19.2;0;50;0;30.8
07298;Saint-Symphorien-sous-Chomérac;10;32;72.1;20.9;7;0;57.8;1.1;25.6;15.6
07299;Saint-Symphorien-de-Mahun;0;12;90;10;0;0;0;25;0;75
07300;Saint-Thomé;6;28;85.4;14.6;0;0;0;7.7;30.8;61.5
07301;Saint-Victor;5;54;81.8;16.2;2;2.6;15.6;32.5;27.3;22.1
07302;Saint-Vincent-de-Barrès;7;32;87.3;10.9;1.8;0;2.8;11.1;0;86.1
07303;Saint-Vincent-de-Durfort;2;18;83.9;16.1;0;11.1;0;0;55.6;33.3
07304;Salavas;15;67;90.5;9.5;0;4.3;0;10.9;63;21.7
07305;Les Salelles;1;24;77.8;22.2;0;0;0;38.1;14.3;47.6
07306;Sampzon;3;23;79.4;17.6;2.9;0;0;13.3;76.7;10
07307;Sanilhac;5;32;89.3;10.7;0;20;0;10;20;50
07308;Sarras;10;110;75.3;21;3.7;1.1;57.5;7.3;25.2;8.9
07309;Satillieu;12;80;78.2;16.1;5.6;0.4;10.2;0;29.8;59.6
07310;Savas;7;24;83.3;14.6;2.1;3.4;0;17.2;55.2;24.1
07311;Sceautres;3;7;87.5;12.5;0;50;0;0;0;50
07312;Sécheras;3;25;69.2;30.8;0;10.3;10.3;31;13.8;34.5
07313;Serrières;13;96;68.6;27.3;4.1;1.8;17.3;5.8;31.4;43.7
07314;Silhac;1;32;88.4;11.6;0;0;0;0;36.4;63.6
07315;La Souche;6;25;91.2;8.8;0;0;36.8;0;0;63.2
07316;Soyons;26;145;74.6;22.1;3.3;0;23.7;4;62.3;10
07317;Talencieux;11;23;81.2;16.7;2.1;6.2;6.2;28.1;0;59.4
07318;Tauriers;2;14;86.4;13.6;0;0;0;66.7;0;33.3
07319;Le Teil;69;450;72.4;22.4;5.2;0.1;21.3;5.4;25.7;47.6
07321;Thorrenc;0;8;73.7;26.3;0;7.1;0;14.3;71.4;7.1
07322;Thueyts;6;89;74.2;19.7;6.1;0;6.2;2.1;20.6;71.2
07323;Toulaud;18;77;81.5;14.3;4.2;3.1;24.1;4.2;42.9;25.7
07324;Tournon-sur-Rhône;83;725;66.7;25.7;7.6;0.7;28;2.9;31.7;36.7
07325;Ucel;17;129;81;13.3;5.7;0;4.9;14.1;21.2;59.8
07326;Usclades-et-Rieutord;2;8;87.5;12.5;0;0;0;0;70;30
07327;Uzer;6;27;84.6;15.4;0;0;0;0;50;50
07328;Vagnas;12;43;85.1;14.9;0;3.3;6.7;20;36.7;33.3
07329;Valgorge;3;25;69.2;23.1;7.7;1.1;0;4.3;2.2;92.4
07330;Vallon-Pont-d'Arc;41;386;81.4;15.9;2.7;0.8;7.5;5.5;41.9;44.3
07331;Vals-les-Bains;43;313;77.6;18.4;4;0;10.9;8.9;31.1;49.1
07332;Valvignères;5;32;69.8;28.6;1.6;28.3;5;13.3;31.7;21.7
07333;Vanosc;3;35;70;30;0;4.3;17;10.6;36.2;31.9
07334;Les Vans;30;366;73.2;23.5;3.2;0.8;9.7;4.6;41.9;43
07335;Vaudevant;0;12;80;20;0;40;0;20;0;40
07336;Vernon;4;13;83.9;16.1;0;0;0;50;10;40
07337;Vernosc-lès-Annonay;11;74;76.6;20.7;2.7;2.2;49.3;14;5.9;28.7
07338;Vernoux-en-Vivarais;11;163;70.6;22.5;6.9;0.6;30.4;13.5;22.8;32.6
07339;Vesseaux;20;95;81.5;17;1.5;2.1;2.8;6.9;16.7;71.5
07340;Veyras;11;60;80.3;11.8;7.9;0;50;0.4;0.9;48.7
07341;Villeneuve-de-Berg;17;201;68.7;24.5;6.8;0.5;2.3;1.3;19;76.8
07342;Villevocance;6;45;73.9;21.7;4.3;1.2;37;2.5;23.5;35.8
07343;Vinezac;9;86;75.2;23.3;1.6;15.2;0;16.2;23.8;44.8
07344;Vinzieux;7;18;82.9;17.1;0;11.1;33.3;0;33.3;22.2
07345;Vion;4;43;76.9;21.5;1.5;8.2;2;49;16.3;24.5
07346;Viviers;28;213;77.2;18.7;4.1;0.9;14.2;8.2;31.6;45
07347;Vocance;4;30;79.1;20.9;0;0;29.7;0;8.1;62.2
07348;Vogüé;11;115;75.6;22.2;2.2;21;7.5;2.2;62.4;7
07349;La Voulte-sur-Rhône;34;303;66;26.7;7.3;0.1;33.2;3.7;32.7;30.2
08001;Acy-Romance;4;14;52.3;36.4;11.4;2.1;0;0;38.4;59.5
08003;Aiglemont;3;68;71.8;23.5;4.7;9.6;20.2;26.9;15.4;27.9
08004;Aire;1;13;63.2;36.8;0;23.1;0;23.1;46.2;7.7
08005;Alincourt;0;3;88.9;11.1;0;0;0;0;0;100
08006;Alland'Huy-et-Sausseuil;2;13;77.8;22.2;0;33.3;0;0;55.6;11.1
08008;Amagne;3;27;76.6;21.3;2.1;0;4.1;0;57.1;38.8
08010;Ambly-Fleury;0;2;69.2;30.8;0;16.7;0;0;66.7;16.7
08011;Anchamps;0;0;50;50;0;0;0;0;0;100
08013;Angecourt;1;14;76;20;4;3.2;61.3;3.2;19.4;12.9
08014;Annelles;0;6;58.8;41.2;0;85.7;0;0;0;14.3
08015;Antheny;0;3;76.9;23.1;0;66.7;0;0;0;33.3
08016;Aouste;1;9;71.4;28.6;0;40;0;46.7;0;13.3
08017;Apremont;0;6;72.7;27.3;0;12.5;0;37.5;50;0
08018;Ardeuil-et-Montfauxelles;0;3;70;30;0;12.5;0;62.5;25;0
08019;Les Grandes-Armoises;0;0;60;40;0;100;0;0;0;0
08020;Les Petites-Armoises;1;11;77.8;22.2;0;87.5;0;0;0;12.5
08021;Arnicourt;0;6;82.4;17.6;0;50;0;0;25;25
08022;Arreux;2;11;68.8;31.2;0;9.1;18.2;18.2;0;54.5
08023;Artaise-le-Vivier;0;1;57.1;42.9;0;100;0;0;0;0
08024;Asfeld;11;64;75.2;21.1;3.7;2.8;1.1;1.7;48.3;46
08025;Attigny;6;98;65.5;25.5;9;1;14.7;3.4;37.3;43.6
08026;Aubigny-les-Pothées;0;12;75;25;0;6.7;0;0;40;53.3
08027;Auboncourt-Vauzelles;0;2;71.4;28.6;0;100;0;0;0;0
08028;Aubrives;3;32;63.3;30;6.7;0;72.4;4.1;12.4;11
08029;Auflance;0;4;66.7;33.3;0;0;0;0;66.7;33.3
08030;Auge;0;2;80;20;0;0;0;0;50;50
08031;Aure;0;1;76.9;23.1;0;100;0;0;0;0
08032;Aussonce;0;15;71;29;0;29.4;0;5.9;52.9;11.8
08033;Authe;0;1;77.8;22.2;0;100;0;0;0;0
08034;Autrecourt-et-Pourron;2;11;88.2;11.8;0;0;0;0;0;100
08035;Autruche;0;2;71.4;28.6;0;0;0;80;0;20
08036;Autry;0;1;66.7;33.3;0;75;0;0;0;25
08037;Auvillers-les-Forges;6;54;63;25.9;11.1;0.3;9.5;0.3;32.3;57.6
08038;Avançon;1;15;75;25;0;47.6;9.5;4.8;23.8;14.3
08039;Avaux;0;19;65.9;31.8;2.3;26.7;0;13.3;48.9;11.1
08040;Les Ayvelles;11;41;59.3;37.3;3.4;0.7;46.1;4.3;36.2;12.8
08041;Baâlons;0;13;78.9;15.8;5.3;0;0;92.3;3.8;3.8
08043;Balan;7;70;65.4;28.8;5.8;1.4;10.1;16.4;59.9;12.1
08044;Balham;0;9;93.8;6.2;0;0;0;0;0;100
08045;Ballay;2;11;63.6;36.4;0;0;31.2;21.9;3.1;43.8
08046;Banogne-Recouvrance;2;8;73.5;26.5;0;75;0;0;8.3;16.7
08047;Barbaise;0;1;75;25;0;33.3;0;0;0;66.7
08048;Barby;4;10;70.6;23.5;5.9;8.3;83.3;0;0;8.3
08049;Bar-lès-Buzancy;1;9;54.5;45.5;0;0;0;14.3;78.6;7.1
08052;Bayonville;1;6;88.2;5.9;5.9;7.1;0;92.9;0;0
08053;Bazeilles;9;133;55.6;29.6;14.8;0.1;40.9;3.1;26.3;29.7
08055;Beaumont-en-Argonne;2;14;88.6;11.4;0;15.4;0;23.1;0;61.5
08056;Beffu-et-le-Morthomme;0;3;66.7;33.3;0;85.7;0;0;0;14.3
08057;Belleville-et-Châtillon-sur-Bar;0;6;76.9;11.5;11.5;0;0;1.6;0;98.4
08058;Belval;1;14;68.4;26.3;5.3;0;0;97;1.5;1.5
08059;Belval-Bois-des-Dames;0;0;62.5;37.5;0;12.5;0;0;87.5;0
08060;Bergnicourt;2;11;78.3;21.7;0;28.6;0;14.3;28.6;28.6
08061;La Berlière;0;0;100;0;0;N/A;N/A;N/A;N/A;N/A
08062;Bertoncourt;2;5;83.3;16.7;0;33.3;0;66.7;0;0
08063;La Besace;1;1;57.1;42.9;0;75;0;0;0;25
08064;Biermes;3;9;58.8;41.2;0;16.7;11.1;0;61.1;11.1
08065;Bièvres;0;2;100;0;0;N/A;N/A;N/A;N/A;N/A
08066;Bignicourt;0;4;91.7;8.3;0;100;0;0;0;0
08067;Blagny;4;32;65.5;25.9;8.6;0.6;11.7;0.6;74;13
08069;Blanchefosse-et-Bay;1;7;88.9;11.1;0;25;0;0;0;75
08070;Blanzy-la-Salonnaise;4;12;66.7;33.3;0;26.7;0;40;13.3;20
08071;Blombay;3;1;55.6;44.4;0;66.7;0;33.3;0;0
08073;Bossus-lès-Rumigny;0;4;57.1;42.9;0;40;0;0;33.3;26.7
08074;Bouconville;0;3;57.1;42.9;0;16.7;0;83.3;0;0
08075;Boult-aux-Bois;1;13;73.1;26.9;0;11.1;0;0;85.2;3.7
08076;Boulzicourt;6;57;58.8;39.2;2;1.2;19;17.9;29.8;32.1
08077;Bourcq;0;4;75;25;0;50;0;0;50;0
08078;Bourg-Fidèle;4;24;72.3;23.4;4.3;0;67.8;4.6;10.3;17.2
08080;Bouvellemont;0;6;84.6;15.4;0;50;0;0;50;0
08081;Bogny-sur-Meuse;27;216;66.8;21.6;11.6;0;61.1;4.4;14.1;20.4
08082;Brécy-Brières;0;1;33.3;66.7;0;100;0;0;0;0
08083;Brévilly;1;18;79.4;17.6;2.9;2.5;17.5;5;62.5;12.5
08084;Brienne-sur-Aisne;0;7;69.6;30.4;0;63.6;0;0;9.1;27.3
08085;Brieulles-sur-Bar;0;12;73.7;26.3;0;0;20;12;32;36
08086;Briquenay;0;1;80;20;0;100;0;0;0;0
08087;Brognon;0;6;84.6;15.4;0;0;0;80;0;20
08088;Bulson;1;4;54.5;45.5;0;44.4;22.2;0;0;33.3
08089;Buzancy;2;38;61;32.2;6.8;3.1;35.7;21.7;14.7;24.8
08090;Carignan;14;132;56.4;34.9;8.7;0.3;50;0.5;21.8;27.4
08092;Cauroy;2;6;76.2;19;4.8;13.3;0;0;86.7;0
08094;Cernion;0;1;80;20;0;0;0;0;0;100
08095;Chagny;0;4;76.9;23.1;0;0;57.1;28.6;0;14.3
08096;Chalandry-Elaire;3;22;85.7;11.4;2.9;0;57.7;19.2;0;23.1
08097;Challerange;2;13;66.7;23.3;10;0.6;64.4;20.1;2.9;12.1
08098;Champigneulle;0;3;81.8;18.2;0;66.7;0;0;0;33.3
08099;Champigneul-sur-Vence;1;8;77.8;16.7;5.6;9.8;0;86.3;0;3.9
08100;Champlin;1;6;61.5;38.5;0;33.3;16.7;0;16.7;33.3
08101;La Chapelle;0;5;63.6;36.4;0;0;0;27.3;54.5;18.2
08102;Chappes;1;7;93.3;6.7;0;0;0;0;0;100
08103;Charbogne;1;9;82.6;17.4;0;80;0;0;20;0
08104;Chardeny;0;1;100;0;0;N/A;N/A;N/A;N/A;N/A
08105;Charleville-Mézières;297;2818;61;30;9.1;0.7;9;2.9;35;52.4
08106;Charnois;0;3;83.3;16.7;0;0;0;0;0;100
08107;Château-Porcien;4;64;72.3;22.8;5;2.1;12.9;10.8;22.5;51.7
08109;Chatel-Chéhéry;0;11;70;30;0;30;0;0;40;30
08110;Le Châtelet-sur-Sormonne;1;10;80;20;0;33.3;0;0;0;66.7
08111;Le Châtelet-sur-Retourne;4;28;57.4;36.2;6.4;3.2;14.3;1.3;79.2;1.9
08113;Chaumont-Porcien;4;28;65.1;33.3;1.6;6.7;1.1;9;31.5;51.7
08115;Chémery-Chéhéry;1;34;68.5;30.1;1.4;15.3;5.6;0;47.2;31.9
08116;Bairon et ses environs;5;68;67.2;28.7;4.1;5.7;6.3;7;34.8;46.2
08117;Chesnois-Auboncourt;0;5;76.9;23.1;0;0;0;50;16.7;33.3
08119;Cheveuges;0;13;77.8;22.2;0;21.4;28.6;14.3;0;35.7
08120;Chevières;1;2;57.1;42.9;0;0;0;30.8;7.7;61.5
08121;Chilly;0;7;83.3;16.7;0;0;0;60;0;40
08122;Chooz;5;30;53.6;32.1;14.3;0;88.9;1.8;5.1;4.1
08123;Chuffilly-Roche;0;6;75;25;0;66.7;0;0;0;33.3
08124;Clavy-Warby;1;14;85.2;14.8;0;50;0;0;10;40
08125;Cliron;2;20;56.7;23.3;20;0;37.2;1.4;58.8;2.7
08126;Condé-lès-Herpy;3;9;76.9;23.1;0;66.7;0;0;0;33.3
08128;Condé-lès-Autry;1;4;57.1;42.9;0;50;0;40;0;10
08130;Contreuve;0;3;66.7;33.3;0;66.7;0;33.3;0;0
08131;Cornay;0;2;77.8;22.2;0;50;0;0;0;50
08132;Corny-Machéroménil;0;7;66.7;26.7;6.7;12.5;0;0;83.3;4.2
08133;Coucy;0;21;81.2;18.8;0;7.1;0;7.1;42.9;42.9
08134;Coulommes-et-Marqueny;1;7;82.4;17.6;0;40;0;0;60;0
08135;La Croix-aux-Bois;0;5;92.9;0;7.1;0;0;0;100;0
08136;Daigny;1;24;75;17.9;7.1;3;0;21.2;36.4;39.4
08137;Damouzy;6;26;70.6;26.5;2.9;7.4;7.4;48.1;14.8;22.2
08138;Les Deux-Villes;0;4;84.6;15.4;0;33.3;0;0;0;66.7
08139;Deville;1;29;61.1;30.6;8.3;0;77.5;4;5.3;13.2
08140;Dom-le-Mesnil;5;50;80.6;17.7;1.6;0;14.5;1.6;61.3;22.6
08141;Dommery;1;6;82.4;17.6;0;20;0;0;0;80
08142;Donchery;5;135;64.8;24;11.2;1;31.2;6.3;32;29.6
08143;Doumely-Bégny;1;2;71.4;28.6;0;50;0;0;0;50
08144;Doux;0;3;100;0;0;N/A;N/A;N/A;N/A;N/A
08145;Douzy;18;118;67.7;22.6;9.7;0;26.2;2.5;53.3;18
08146;Draize;0;5;57.1;42.9;0;0;0;0;50;50
08147;Dricourt;2;2;88.9;0;11.1;0;0;0;0;100
08148;L'Écaille;1;13;85;15;0;33.3;0;33.3;0;33.3
08149;L'Échelle;0;3;80;20;0;25;0;0;0;75
08150;Écly;1;5;70.6;29.4;0;26.7;0;0;60;13.3
08151;Écordal;1;8;58.8;35.3;5.9;0;25.9;51.9;3.7;18.5
08153;Escombres-et-le-Chesnois;1;7;92.9;7.1;0;0;0;0;0;100
08154;Estrebay;1;1;33.3;66.7;0;83.3;0;0;0;16.7
08155;Étalle;0;2;100;0;0;N/A;N/A;N/A;N/A;N/A
08156;Éteignières;1;11;78.6;17.9;3.6;6.2;46.9;0;21.9;25
08158;Étrépigny;1;6;73.3;13.3;13.3;0;0;0;12.3;87.7
08159;Euilly-et-Lombut;0;3;85.7;14.3;0;100;0;0;0;0
08160;Évigny;2;11;82.6;17.4;0;14.3;0;14.3;28.6;42.9
08161;Exermont;0;2;88.9;11.1;0;0;0;0;100;0
08162;Fagnon;2;16;88.9;11.1;0;0;0;0;10;90
08163;Faissault;4;18;76;20;4;0;0;80;18;2
08164;Falaise;1;11;86.7;13.3;0;0;66.7;0;0;33.3
08165;Faux;1;0;80;20;0;100;0;0;0;0
08166;Fépin;2;7;87.5;12.5;0;0;0;0;0;100
08167;La Férée;0;4;81.8;18.2;0;50;0;0;0;50
08168;La Ferté-sur-Chiers;0;9;70.6;29.4;0;11.8;41.2;35.3;0;11.8
08169;Flaignes-Havys;1;4;92.9;7.1;0;0;0;0;0;100
08170;Fleigneux;1;7;84.6;15.4;0;33.3;0;0;0;66.7
08171;Fléville;2;6;85.7;14.3;0;0;0;0;66.7;33.3
08172;Fligny;1;8;66.7;25;8.3;0;0;92.9;2.4;4.8
08173;Flize;5;80;74.4;22.6;3;0;1.2;9.1;33.2;56.4
08174;Floing;8;90;79.1;16.5;4.3;2.1;11.7;2.7;11.7;71.8
08175;Foisches;0;5;75;25;0;40;0;0;0;60
08176;Fossé;0;5;55.6;44.4;0;0;0;60;20;20
08178;Fraillicourt;0;3;71.4;28.6;0;30;0;0;50;20
08179;Francheval;2;16;86.1;13.9;0;0;6.7;6.7;6.7;80
08180;La Francheville;8;91;61.9;27.8;10.3;0;14.1;25.4;53.1;7.5
08182;Le Fréty;0;1;80;20;0;0;0;0;0;100
08183;Fromelennes;1;30;70.7;24.4;4.9;0;87.5;2.4;2.4;7.7
08184;Fromy;0;4;72.7;27.3;0;0;0;12.5;75;12.5
08185;Fumay;9;130;62.9;28.5;8.6;0;29.4;1;19;50.5
08186;Germont;1;1;100;0;0;N/A;N/A;N/A;N/A;N/A
08187;Gernelle;1;9;65;35;0;15.4;0;7.7;38.5;38.5
08188;Gespunsart;5;51;77;16.4;6.6;0;88.5;0.5;2.8;8.3
08189;Girondelle;1;5;71.4;28.6;0;11.1;0;22.2;55.6;11.1
08190;Givet;40;400;63.8;28.8;7.4;0.3;13.9;4.3;47.8;33.7
08191;Givonne;5;34;72.3;23.4;4.3;9.8;4.9;21.3;16.4;47.5
08192;Givron;0;2;77.8;22.2;0;100;0;0;0;0
08193;Givry;0;8;73.7;26.3;0;83.3;0;0;0;16.7
08194;Glaire;4;71;54.8;24.7;20.4;0;64.3;10.6;10.2;14.9
08195;Gomont;0;7;73.7;26.3;0;14.3;0;0;42.9;42.9
08196;Grandchamp;1;2;66.7;33.3;0;0;0;80;20;0
08197;Grandham;0;3;80;20;0;0;0;0;100;0
08198;Grandpré;2;43;51.9;43;5.1;9.7;6.2;1.8;15;67.3
08199;La Grandville;6;26;78;17.1;4.9;0;15.4;62.8;7.7;14.1
08200;Grivy-Loisy;1;12;67.7;32.3;0;18.2;0;0;75.8;6.1
08201;Gruyères;0;5;90.9;9.1;0;0;0;0;100;0
08202;Gué-d'Hossus;2;15;72.2;27.8;0;20;0;13.3;46.7;20
08203;Guignicourt-sur-Vence;5;7;83.3;16.7;0;0;0;0;20;80
08204;Guincourt;0;5;77.8;22.2;0;50;0;0;0;50
08205;Hagnicourt;0;1;20;60;20;6.9;0;0;86.2;6.9
08206;Ham-les-Moines;5;17;75;15;10;0;92.6;2.5;2.5;2.5
08207;Ham-sur-Meuse;1;5;81.2;18.8;0;0;0;60;20;20
08208;Hannappes;0;3;70;30;0;20;0;40;0;40
08209;Hannogne-Saint-Martin;1;14;81.8;13.6;4.5;0;25;58.3;0;16.7
08210;Hannogne-Saint-Rémy;1;3;42.9;57.1;0;70.6;0;0;0;29.4
08211;Haraucourt;0;23;75;22.7;2.3;0;76;1.3;9.3;13.3
08212;Harcy;3;19;76.7;13.3;10;1.7;18.3;15;20;45
08214;Hargnies;2;19;58.6;37.9;3.4;5.6;8.3;11.1;47.2;27.8
08215;Harricourt;0;3;83.3;16.7;0;0;50;0;0;50
08216;Haudrecy;1;10;76.5;23.5;0;0;0;77.8;0;22.2
08217;Haulmé;0;6;71.4;28.6;0;0;0;33.3;0;66.7
08218;Les Hautes-Rivières;2;85;60.6;28.4;11;0;89.8;3;3.3;3.9
08219;Hauteville;0;2;50;50;0;80;0;0;0;20
08220;Hauviné;2;13;85.3;14.7;0;50;0;33.3;0;16.7
08222;Haybes;5;76;66.4;24.1;9.5;0;39.6;8.2;27.4;24.8
08223;Herbeuval;0;3;88.9;11.1;0;0;0;0;0;100
08225;Herpy-l'Arlésienne;0;6;88;12;0;50;0;25;0;25
08226;Hierges;2;8;61.1;33.3;5.6;1.6;70.3;0;21.9;6.2
08228;La Horgne;1;2;85.7;14.3;0;0;0;0;0;100
08229;Houdilcourt;0;5;82.4;17.6;0;50;0;0;0;50
08230;Houldizy;6;17;70;30;0;5.9;0;23.5;0;70.6
08232;Illy;0;15;66.7;30;3.3;5.4;51.4;5.4;21.6;16.2
08233;Imécourt;0;0;71.4;28.6;0;100;0;0;0;0
08234;Inaumont;1;3;60;40;0;0;0;83.3;0;16.7
08235;Issancourt-et-Rumel;0;12;90.9;9.1;0;0;0;0;50;50
08236;Jandun;0;13;72.4;20.7;6.9;1.9;68;1.9;21.4;6.8
08237;Joigny-sur-Meuse;1;27;71.4;25.7;2.9;0;48.9;8.9;22.2;20
08238;Jonval;0;5;72.7;27.3;0;0;0;75;25;0
08239;Juniville;9;76;71.2;23.5;5.3;4;13.5;5.6;50.8;26.2
08240;Justine-Herbigny;0;9;84.2;15.8;0;50;0;0;25;25
08242;Laifour;0;12;88.2;11.8;0;0;0;0;0;100
08243;Lalobbe;1;10;80.8;11.5;7.7;2.1;87.5;0;2.1;8.3
08244;Lametz;0;1;87.5;12.5;0;100;0;0;0;0
08245;Lançon;0;0;100;0;0;N/A;N/A;N/A;N/A;N/A
08246;Landres-et-Saint-Georges;0;4;73.7;26.3;0;80;0;0;0;20
08247;Landrichamps;1;2;80;20;0;0;0;0;0;100
08248;Launois-sur-Vence;2;31;69.2;26.9;3.8;0;13.6;6.2;37;43.2
08249;Laval-Morency;0;15;68.2;31.8;0;20;0;35;35;10
08250;Leffincourt;0;8;71.1;28.9;0;73.7;0;0;21.1;5.3
08251;Lépron-les-Vallées;1;4;60;40;0;14.3;0;57.1;14.3;14.3
08252;Létanne;1;2;90.9;9.1;0;100;0;0;0;0
08254;Liart;3;37;61.7;35;3.3;1.6;8.1;1.6;39.8;48.8
08255;Linay;1;4;77.8;22.2;0;50;0;0;0;50
08256;Liry;0;3;61.5;38.5;0;100;0;0;0;0
08257;Logny-Bogny;1;4;92.9;7.1;0;0;0;0;0;100
08259;Longwé;1;4;70;30;0;16.7;0;33.3;50;0
08260;Lonny;4;30;90;8;2;0;0;0;84.6;15.4
08262;Lucquy;5;23;71.7;21.7;6.5;0;3.4;28.1;18;50.6
08263;Lumes;5;36;75.4;17.5;7;2.8;13.1;27.1;37.4;19.6
08264;Machault;2;28;71.7;24.5;3.8;6.8;0;10.2;18.6;64.4
08268;Maisoncelle-et-Villers;0;3;76.9;23.1;0;16.7;66.7;0;0;16.7
08269;Malandry;1;2;75;25;0;0;0;0;0;100
08271;Manre;0;4;78.6;21.4;0;42.9;0;57.1;0;0
08272;Maranwez;0;1;80;20;0;100;0;0;0;0
08273;Marby;0;4;91.7;8.3;0;0;0;0;0;100
08274;Marcq;1;5;70;30;0;33.3;0;33.3;0;33.3
08275;Margny;0;3;77.8;22.2;0;0;0;0;33.3;66.7
08276;Margut;4;39;75;23.4;1.6;1.4;18.1;0;34.7;45.8
08277;Marlemont;1;3;87.5;12.5;0;0;0;0;0;100
08278;Marquigny;0;3;85.7;14.3;0;0;0;0;0;100
08279;Mars-sous-Bourcq;0;3;66.7;16.7;16.7;0;0;52.6;47.4;0
08280;Marvaux-Vieux;2;3;45.5;54.5;0;100;0;0;0;0
08281;Matton-et-Clémency;0;22;72.4;27.6;0;12;16;0;20;52
08282;Maubert-Fontaine;5;47;69;25;6;1.4;2.3;9.7;32.4;54.2
08283;Mazerny;1;4;50;37.5;12.5;4.3;0;78.3;13;4.3
08284;Les Mazures;2;42;76.2;15.9;7.9;2.4;28.5;2.4;42.3;24.4
08286;Ménil-Annelles;1;2;72.2;27.8;0;80;0;0;0;20
08287;Ménil-Lépinois;0;4;61.9;38.1;0;91.7;0;0;0;8.3
08288;Mesmont;1;3;72.7;27.3;0;33.3;0;33.3;0;33.3
08289;Messincourt;5;11;87;13;0;0;0;0;7.7;92.3
08291;Mogues;0;9;76.5;23.5;0;14.3;0;0;71.4;14.3
08293;Moiry;0;7;71.4;28.6;0;11.1;0;55.6;22.2;11.1
08294;La Moncelle;1;9;72.7;27.3;0;0;0;71.4;0;28.6
08295;Mondigny;1;5;50;50;0;15.4;0;46.2;30.8;7.7
08296;Montcheutin;0;3;28.6;71.4;0;42.9;0;42.9;0;14.3
08297;Montcornet;2;13;69.2;19.2;11.5;0;3.3;0.8;2.4;93.5
08298;Montcy-Notre-Dame;7;53;81;13.9;5.1;0;5.7;47.3;1.5;45.4
08300;Le Mont-Dieu;0;1;100;0;0;N/A;N/A;N/A;N/A;N/A
08301;Montgon;0;1;75;25;0;0;0;0;0;100
08302;Monthermé;5;125;64.7;27.5;7.8;0;38.6;2.5;22.1;36.7
08303;Monthois;3;28;60.4;39.6;0;3.1;0;24.6;46.2;26.2
08304;Montigny-sur-Meuse;0;2;0;100;0;0;0;0;0;100
08305;Montigny-sur-Vence;2;8;90;10;0;66.7;0;0;0;33.3
08306;Mont-Laurent;0;2;71.4;28.6;0;50;0;0;0;50
08307;Montmeillant;0;3;88.9;11.1;0;0;100;0;0;0
08308;Mont-Saint-Martin;1;4;94.4;5.6;0;100;0;0;0;0
08309;Mont-Saint-Remy;0;2;90.9;9.1;0;100;0;0;0;0
08310;Mouron;0;3;83.3;16.7;0;100;0;0;0;0
08311;Mouzon;12;112;69.9;22.2;8;0.3;72.5;3.1;6.1;17.9
08312;Murtin-et-Bogny;2;3;81.8;18.2;0;0;0;50;0;50
08313;Nanteuil-sur-Aisne;1;5;54.5;45.5;0;46.2;0;0;53.8;0
08314;Neuflize;4;28;72.2;25;2.8;8.1;0;2.7;21.6;67.6
08315;Neufmaison;0;2;66.7;33.3;0;80;0;0;0;20
08316;Neufmanil;3;41;77.1;16.7;6.2;0;77.7;2.1;1.1;19.1
08317;La Neuville-à-Maire;2;5;91.7;8.3;0;0;0;100;0;0
08318;La Neuville-aux-Joûtes;0;8;88;12;0;57.1;0;0;0;42.9
08319;Neuville-lez-Beaulieu;2;8;72.4;27.6;0;18.8;0;18.8;43.8;18.8
08320;La Neuville-en-Tourne-à-Fuy;3;22;75.9;24.1;0;46.2;26.9;3.8;15.4;7.7
08321;Neuville-Day;1;6;92.9;7.1;0;0;0;0;0;100
08322;Neuville-lès-This;3;15;76;24;0;10;20;10;10;50
08323;La Neuville-lès-Wasigny;1;6;70;30;0;20;20;0;0;60
08324;Neuvizy;0;2;66.7;33.3;0;20;0;40;0;40
08325;Noirval;0;1;85.7;14.3;0;0;0;100;0;0
08326;Nouart;0;6;89.5;10.5;0;33.3;0;0;0;66.7
08327;Nouvion-sur-Meuse;6;59;75.9;19;5.1;0.6;18.7;1.3;18.7;60.6
08328;Nouzonville;23;239;67.6;26.8;5.6;0.4;27.7;8.8;20.9;42.1
08329;Novion-Porcien;3;27;73.5;24.5;2;5.9;0;1.5;50;42.6
08330;Novy-Chevrières;4;20;77.3;22.7;0;29.4;0;17.6;17.6;35.3
08331;Noyers-Pont-Maugis;3;21;73.5;26.5;0;9.1;9.1;4.5;22.7;54.5
08332;Oches;0;1;100;0;0;N/A;N/A;N/A;N/A;N/A
08333;Olizy-Primat;1;5;84.2;15.8;0;25;0;0;0;75
08334;Omicourt;1;3;83.3;16.7;0;100;0;0;0;0
