Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2016;Part des familles avec 1 enf. de - de 25 ans 2016;Indice de vieillissement 2016;Densité de population (historique depuis 1876) 2016;Évol. annuelle moy. de la population 2011-2016;Part des pers. âgées de - 15 ans 2016;Part des pers. âgées de - de 25 ans 2016;Part des pers. âgées de 25 à 64 ans 2016;Part des pers. âgées de 65 ans ou + 2016;Part des familles sans enf. de - de 25 ans 2016;Part des familles avec 2 enf. de - de 25 ans 2016;Part des familles avec 3 enf. ou plus de - de 25 ans 2016;Taille moyenne des ménages 2016
01153;Échenevex;2172;24.2;33.7;132.1;4.8;26.8;34.5;54.5;11;33.9;30.6;11.3;2.7
01155;Évosges;145;44.4;77.1;12;0.3;19.4;26.4;54.9;18.8;44.4;11.1;0;2.1
01156;Faramans;801;14;46.9;71.4;2.4;23.5;32.5;54.3;13.2;48;28;10;2.7
01157;Fareins;2203;19.4;71.2;268;0.3;20.6;30.9;50;19.1;49.3;19.4;11.9;2.5
01158;Farges;1013;25;40.7;70.9;2.4;23.6;33.9;54.1;12;36.7;31.6;6.6;2.5
01159;Feillens;3254;20.5;90;218.2;0.9;16;26.4;54.2;19.3;56.2;16.5;6.7;2.3
01160;Ferney-Voltaire;9637;30;51.5;2016.1;2.7;19.7;29.1;58.3;12.7;43.3;17.8;9;2.1
01162;Flaxieu;69;25;72.7;24.7;0.9;29.2;36.9;38.5;24.6;50;0;25;2.8
01163;Foissiat;2062;16.7;78.4;51.1;1;19;29;51.8;19.2;54;19.8;9.5;2.4
01165;Francheleins;1574;20.2;35.4;116.1;2.8;26;34.8;54;11.2;38.3;30.3;11.2;2.8
01166;Frans;2334;24.8;59.7;292.5;3.4;19.6;31.4;53.4;15.2;44.8;23.4;6.9;2.6
01167;Garnerans;654;26.2;77.7;76.3;-0.2;17.5;27.2;54.8;18;52.4;14.3;7.1;2.5
01169;Genouilleux;600;12.5;39.8;147.1;-0.2;20;31.2;57.2;11.5;47.5;32.5;7.5;2.6
01170;Béard-Géovreissiat;1039;36.1;27.6;221.5;1.8;24.1;35.7;55.6;8.6;31.1;21.3;11.5;2.8
01171;Géovreisset;891;19.3;59.5;269.2;-0.5;17.1;28.4;57.4;14.3;54.4;21.1;5.3;2.6
01173;Gex;12652;24.5;37.3;395.1;3.9;20.8;30.4;60;9.5;46.1;21.1;8.3;2.2
01174;Giron;180;25;60;19.2;1.6;22.3;31.8;51.4;16.8;37.5;25;12.5;2.5
01175;Gorrevod;861;23.5;51;125.1;1.4;23;33.8;50.9;15.3;42.7;19.8;14.1;2.5
01177;Grand-Corent;174;18.2;83.3;24.4;0.8;20.9;24.9;55.4;19.8;63.6;9.1;9.1;2.2
01179;Grièges;1881;16.3;85.2;126.5;-0.3;19.7;27.9;51.7;20.4;53.8;22.6;7.3;2.3
01180;Grilly;808;18.4;70.2;107.7;0.8;20;29.1;53;17.9;50.5;22.7;8.4;2.5
01181;Groissiat;1223;24;41.4;193.5;1.2;23.4;33.3;54.4;12.2;35.2;31;9.8;2.8
01183;Guéreins;1435;19.3;58.1;318.2;1.4;22.6;31.3;52.2;16.5;47.7;21.6;11.4;2.6
01184;Hautecourt-Romanèche;784;17.8;76.5;36.3;-0.2;19.9;28.8;50.8;20.3;47.1;24.3;10.9;2.3
01185;Plateau d'Hauteville;4845;15.6;140;45.7;-1.4;14;25.1;47.4;27.5;57.6;18.7;8.2;1.9
01187;Haut Valromey;695;26.6;99.8;6.4;0.6;14.7;24;54.5;21.4;54.8;9.1;9.6;2.1
01188;Illiat;615;21.1;64.9;30.2;1.5;22.4;30.5;52.6;16.9;42.1;23.7;13.1;2.7
01189;Injoux-Génissiat;1147;19.4;45.2;38.7;0.8;20.8;33.1;54.8;12.1;46.8;25.1;8.7;2.5
01190;Innimond;98;16.7;152.9;7.3;-3.3;15.7;21.3;49.4;29.2;50;16.7;16.7;2.2
01191;Izenave;162;30;116.7;12.4;-0.5;13.5;25.6;51.9;22.4;60;10;0;2.2
01192;Izernore;2257;26;50;108.2;-0.3;20.9;32.4;53.6;14;41.2;23.7;9.2;2.4
01193;Izieu;242;9.1;106.5;31.6;3.8;13.9;23.8;55;21.2;63.6;18.2;9.1;2.3
01194;Jassans-Riottier;6391;23.7;76.7;1328.7;1.1;19;30.2;50.5;19.3;45.1;22.5;8.7;2.4
01195;Jasseron;1762;27.6;75.1;93.1;1.7;21.2;30.4;49;20.5;39;23.8;9.5;2.5
01196;Jayat;1166;20.6;47;71.5;1.6;24.4;33.8;51.5;14.7;41.2;29.4;8.8;2.6
01197;Journans;355;21.7;92.4;146.1;1.3;18.9;26.8;52.7;20.6;56.5;21.7;0;2.2
01198;Joyeux;274;18.8;43.8;16.5;2.9;20.5;32.5;55.6;11.9;43.7;25;12.5;2.7
01199;Jujurieux;2181;24.6;76.2;141.7;0.5;19.5;30.3;50;19.8;43.4;23;9;2.2
01200;Labalme;212;33.3;50;24.1;0.8;23.8;34.6;50.9;14.5;41.7;16.7;8.3;2.5
01202;Lagnieu;7090;23.6;77.7;260.2;0.9;18.9;29.5;51.2;19.3;45.6;21.2;9.6;2.2
01203;Laiz;1213;13.5;58.7;117.7;1.1;19.5;30.6;54.1;15.3;52.7;20.3;13.5;2.5
