Inscrits;Nuls;Votants;Code Insee;ARTHAUD;ROUSSEL;JADOT;DUPONT-AIGNAN;ZEMMOUR;PECRESSE;LASSALLE;LE PEN;MACRON;MÉLENCHON;POUTOU;HIDALGO
474;5;383;36244;1.63;1.63;0.27;4.35;15.22;2.72;2.17;34.51;19.57;16.3;1.63;4.1
138;1;121;36246;2.52;3.36;0.0;13.45;29.41;6.72;1.68;26.05;6.72;10.08;0.0;6.53
924;7;789;36247;0.92;0.92;0.65;5.88;17.65;4.58;0.13;33.73;19.61;14.12;1.83;3.48
194;3;161;36248;0.65;0.0;0.0;7.14;20.78;11.69;0.0;26.62;16.23;15.58;1.3;4.41
822;10;689;37001;0.3;0.6;0.15;6.94;17.35;4.07;1.06;35.14;17.65;14.78;1.96;2.59
1184;2;1045;37002;0.88;0.49;0.29;7.33;19.45;6.26;0.78;26.49;19.35;17.89;0.78;4.58
8549;56;6804;37003;0.57;1.08;0.26;5.13;23.73;6.55;0.57;17.6;24.62;18.69;1.19;5.89
316;4;297;37004;0.35;0.7;0.0;6.64;23.78;3.85;0.7;25.87;18.53;18.18;1.4;6.85
395;1;306;37005;1.02;1.02;0.34;7.51;12.97;4.1;2.05;28.33;16.38;24.23;2.05;2.31
2119;7;1805;37006;0.23;1.19;0.34;6.65;18.69;6.53;1.02;20.51;22.05;21.93;0.85;6.61
147;1;117;37007;1.74;0.0;0.0;5.22;33.91;3.48;1.74;28.7;17.39;7.83;0.0;6.23
2038;22;1709;37008;0.73;1.27;0.18;5.98;18.91;4.41;0.91;28.28;17.95;20.24;1.15;10.16
299;2;240;37009;0.0;0.86;0.43;6.47;23.28;2.59;0.86;29.74;20.69;13.36;1.72;6.29
1383;13;1172;37010;0.97;0.44;0.53;6.87;16.73;4.58;0.44;29.14;18.84;20.51;0.97;6.47
1349;16;1078;37011;1.35;0.39;0.29;5.51;14.11;5.89;0.77;24.25;24.35;21.45;1.64;5.96
387;11;334;37012;1.56;0.93;0.31;9.03;22.12;6.85;1.25;24.61;19.31;13.08;0.93;4.44
375;0;308;37013;0.99;0.99;0.66;5.61;23.43;2.31;0.99;35.31;16.17;11.88;1.65;8.84
2645;12;2123;37014;0.77;0.63;0.29;5.93;24.2;6.61;0.77;16.59;23.48;19.53;1.21;4.6
2518;13;2146;37015;0.86;0.81;0.19;6.46;20.34;6.23;0.9;18.96;24.86;19.68;0.71;5.46
299;1;262;37016;0.39;0.39;0.39;3.13;26.17;10.16;0.39;16.41;16.41;24.61;1.56;7.02
6142;29;5261;37018;0.45;0.54;0.17;6.03;25.46;6.29;0.72;14.92;29.26;15.08;1.09;5.91
370;3;318;37019;0.65;0.0;0.0;7.12;21.04;6.47;2.27;23.95;23.95;12.3;2.27;6.02
1382;25;1142;37020;1.44;0.72;0.09;5.05;19.04;5.96;1.62;21.12;22.11;21.48;1.35;6.99
1054;6;902;37021;0.8;0.8;0.0;6.26;19.93;4.44;1.25;26.77;19.02;20.05;0.68;7.76
2301;19;1914;37022;1.51;0.75;0.05;5.77;13.85;8.84;1.08;18.54;23.83;24.53;1.24;4.2
206;2;178;37023;1.15;0.0;0.57;4.02;31.03;4.6;0.57;27.01;14.37;15.52;1.15;6.93
801;10;645;37024;1.44;0.96;0.16;6.26;16.21;5.46;0.8;23.27;22.47;21.99;0.96;2.89
551;2;468;37025;0.0;1.32;0.22;6.36;19.08;7.02;1.1;19.96;23.25;19.96;1.75;4.29
